Pot 2 hum, Pot 1 hum, rel hum, Temp, Pressure, Pot 3 hum, timestamp
0.6129915, 0.5979004, 51.96, 22.45, 1006.29, 0.3628748, 2023-16-15 21:11:36
0.6202243, 0.5923827, 51.99, 22.46, 1006.24, 0.365951, 2023-16-15 21:11:38
0.6133791, 0.5964355, 51.99, 22.47, 1006.25, 0.3665858, 2023-16-15 21:11:40
0.6143557, 0.5921874, 51.99, 22.46, 1006.32, 0.3675136, 2023-16-15 21:11:42
0.6186526, 0.5902342, 51.98, 22.45, 1006.29, 0.3618982, 2023-16-15 21:11:44
0.6190921, 0.5907713, 51.95, 22.46, 1006.3, 0.3669276, 2023-16-15 21:11:46
0.6138704, 0.5884764, 51.97, 22.46, 1006.24, 0.3689784, 2023-16-15 21:11:48
0.6157229, 0.6002441, 51.97, 22.46, 1006.3, 0.3674159, 2023-16-15 21:11:50
0.6165071, 0.5874997, 51.97, 22.46, 1006.22, 0.3607264, 2023-16-15 21:11:52
0.6121126, 0.5881834, 51.94, 22.47, 1006.34, 0.3664882, 2023-16-15 21:11:54
0.6182162, 0.59375, 51.95, 22.45, 1006.29, 0.365951, 2023-16-15 21:11:56
